"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm"
"robinbu9120152016","Buddy.Robinson","R","OTT",3,20152016,23,"0.925","0.925",1,1,2,2.23,2.23,4.47,-2,43.4,114.44,20,18.98,8.95
"rodriev9320152016","Evan.Rodrigues","F","BUF",2,20152016,22,"0.843","0.843",1,1,2,2.79,2.79,5.58,0,73.91,111.11,12.5,5.56,10.76
"roussan8920152016","Antoine.Roussel","L","DAL",93,20152016,25,"1.800","2.000",15,16,31,0.69,0.73,1.42,-7,48.95,100.62,11.81,-12.24,14.08
"rozsimi7820152016","Michal.Rozsival","D","CHI",55,20152016,37,"0.600","0.600",1,12,13,0.07,0.8,0.87,-6,49.5,101.48,2.38,4.97,16.26
"ruhwech9020152016","Chad.Ruhwedel","D","BUF",1,20152016,25,"0.675","0.650",0,0,0,0,0,0,0,41.38,100,0,13.85,14.39
"rundbda9020152016","David.Rundblad","D","CHI",12,20152016,24,"1.000","1.050",0,2,2,0,0.78,0.78,-3,59.33,101.57,0,24.32,12.84
"russekr8720152016","Kris.Russell","D","CGY/DAL",74,20152016,28,"2.600","2.600",4,19,23,0.15,0.69,0.84,2,45.62,100.38,5.13,-2.54,22.21
"rustxbr9220152016","Bryan.Rust","R","PIT",51,20152016,23,"0.665","0.652",6,8,14,0.58,0.77,1.35,5,50,101.03,7.59,-14.03,12.17
"ruututu8320152016","Tuomo.Ruutu","LR","N.J",33,20152016,32,"5.000","4.750",0,1,1,0,0.16,0.16,-1,46.11,95.8,0,-4.26,11.61
"ryanxbo8720152016","Bobby.Ryan","RL","OTT",81,20152016,28,"6.500","7.250",22,34,56,0.95,1.47,2.43,14,54.45,101.28,12.02,29.19,17.08
"ryanxde8620152016","Derek.Ryan","C","CAR",6,20152016,28,"0.600","0.600",2,0,2,1.67,0,1.67,-1,59.09,102.06,40,11.94,12.01
"rycheke9420152016","Kerby.Rychel","L","CBJ",32,20152016,20,"0.925","0.894",2,7,9,0.39,1.38,1.77,-3,45.07,105.94,6.25,-0.97,9.51
"saadxbr9220152016","Brandon.Saad","LR","CBJ",78,20152016,22,"4.000","6.000",31,21,52,1.41,0.95,2.36,14,53.41,100.81,13.3,13.84,16.97
"salommi9320152016","Miikka.Salomaki","LR","NSH",75,20152016,22,"0.843","0.781",6,6,12,0.39,0.39,0.79,2,43.01,97.96,7.89,-37.35,12.19
"samueph9120152016","Philip.Samuelsson","D","ARI",4,20152016,24,"0.600","0.600",0,0,0,0,0,0,-1,49.57,99.37,0,1.37,15.44
"santist9520152016","Steven.Santini","D","N.J",1,20152016,20,"NA","NA",0,0,0,0,0,0,0,27.78,140,0,6.67,15.46
"santomi8520152016","Mike.Santorelli","RC","ANA",70,20152016,29,"0.875","0.875",9,9,18,0.78,0.78,1.55,4,52.74,99.22,11.11,15.14,9.95
"savarda9020152016","David.Savard","D","CBJ",65,20152016,24,"1.300","1.300",4,21,25,0.16,0.84,1,-13,46.6,99.35,3.28,-5.86,23.09
"sbisalu9020152016","Luca.Sbisa","D","VAN",41,20152016,25,"3.200","3.600",2,6,8,0.17,0.51,0.67,-2,40.8,102.42,6.9,-6.13,17.35
"scandma9020152016","Marco.Scandella","D","MIN",79,20152016,25,"3.000","4.000",6,16,22,0.22,0.59,0.81,2,44.57,99.72,4.35,-12.65,20.51
"scevico8920152016","Colton.Sceviour","R","DAL",82,20152016,26,"0.700","0.650",13,15,28,0.76,0.88,1.65,4,47.47,99.71,8.97,-18.26,12.44
"schalti9020152016","Timothy.Schaller","CL","BUF",17,20152016,24,"0.874","0.874",1,2,3,0.43,0.86,1.29,3,39.5,104.06,5.56,-0.82,8.19
